oneid,choice,profit,variable,round,marketmaker,role,numtrans,marginalbid,marginalask,time
1305,2,0,15,1,gain,buyer,14,13,13,2021-01-15 12:31:04
1305,10,0,15,2,gain,buyer,14,15,14,2021-01-15 12:36:30
1305,15,0,15,3,gain,buyer,15,15,15,2021-01-15 12:38:05
1305,15,0,15,4,gain,buyer,17,16,16,2021-01-15 12:39:55
1305,15,0,15,5,gain,buyer,13,16,16,2021-01-15 12:41:52
1305,18,-1.9899999999999984,15,6,gain,buyer,17,16.99,16,2021-01-15 12:43:55
1305,16,-1,15,7,gain,buyer,18,16,16,2021-01-15 12:45:47
1305,0,0,15,8,gain,buyer,14,16,16,2021-01-15 12:48:21
1305,14,0,15,9,gain,buyer,19,16,16,2021-01-15 12:49:39
1305,14,0,15,10,gain,buyer,18,16,16,2021-01-15 12:51:27
1305,21,0,20,11,loss,seller,14,16,16,2021-01-15 12:54:18
1305,21,0,20,12,loss,seller,13,16,16,2021-01-15 12:56:22
1305,21,0,20,13,loss,seller,17,16,16,2021-01-15 12:58:10
1305,21,0,20,14,loss,seller,18,16,16,2021-01-15 12:59:41
1305,16,-4,20,15,loss,seller,15,16,16,2021-01-15 13:01:27
1305,15,-4,20,16,loss,seller,15,16,16,2021-01-15 13:03:35
1305,40,0,20,17,loss,seller,16,16,16,2021-01-15 13:05:48
1305,40,0,20,18,loss,seller,17,16,16,2021-01-15 13:07:26
1305,40,0,20,19,loss,seller,15,16,16,2021-01-15 13:09:42
1305,20,0,20,20,loss,seller,18,16,16,2021-01-15 13:11:26
4830,4,0,19,1,gain,buyer,14,13,13,2021-01-15 12:31:30
4830,11,0,19,2,gain,buyer,14,15,14,2021-01-15 12:36:05
4830,16,4,19,3,gain,buyer,15,15,15,2021-01-15 12:37:46
4830,15,0,19,4,gain,buyer,17,16,16,2021-01-15 12:39:56
4830,17,3,19,5,gain,buyer,13,16,16,2021-01-15 12:41:35
4830,16.01,0,19,6,gain,buyer,17,16.99,16,2021-01-15 12:44:06
4830,0,0,19,7,gain,buyer,18,16,16,2021-01-15 12:45:35
4830,15,0,19,8,gain,buyer,14,16,16,2021-01-15 12:47:34
4830,17,3,19,9,gain,buyer,19,16,16,2021-01-15 12:49:40
4830,16.5,3,19,10,gain,buyer,18,16,16,2021-01-15 12:51:48
4830,16.4,0,5,11,loss,seller,14,16,16,2021-01-15 12:53:48
4830,20,0,5,12,loss,seller,13,16,16,2021-01-15 12:56:40
4830,15,11,5,13,loss,seller,17,16,16,2021-01-15 12:57:35
4830,15,11,5,14,loss,seller,18,16,16,2021-01-15 12:59:40
4830,15.5,11,5,15,loss,seller,15,16,16,2021-01-15 13:01:47
4830,15.5,11,5,16,loss,seller,15,16,16,2021-01-15 13:04:06
4830,15.5,11,5,17,loss,seller,16,16,16,2021-01-15 13:05:42
4830,15.5,11,5,18,loss,seller,17,16,16,2021-01-15 13:07:38
4830,15.5,11,5,19,loss,seller,15,16,16,2021-01-15 13:09:36
4830,15.5,11,5,20,loss,seller,18,16,16,2021-01-15 13:11:38
6185,20,0,19,1,loss,seller,7,10,10,2021-01-15 12:30:18
6185,15,0,19,2,loss,seller,9,11,11,2021-01-15 12:35:52
6185,15,0,19,3,loss,seller,10,11,11,2021-01-15 12:38:28
6185,16,0,19,4,loss,seller,10,11,11,2021-01-15 12:39:43
6185,20,0,19,5,loss,seller,12,11,11,2021-01-15 12:41:31
6185,30,0,19,6,loss,seller,11,11,11,2021-01-15 12:43:32
6185,40,0,19,7,loss,seller,9,11,11,2021-01-15 12:45:44
6185,28,0,19,8,loss,seller,11,11,11,2021-01-15 12:47:48
6185,28,0,19,9,loss,seller,10,11,11,2021-01-15 12:49:24
6185,27,0,19,10,loss,seller,9,11,11,2021-01-15 12:51:17
6185,27,0,6,11,loss,seller,14,16,16,2021-01-15 12:53:25
6185,16,10,6,12,loss,seller,13,16,16,2021-01-15 12:55:53
6185,16,10,6,13,loss,seller,17,16,16,2021-01-15 12:57:34
6185,16,10,6,14,loss,seller,18,16,16,2021-01-15 12:59:39
6185,16,10,6,15,loss,seller,15,16,16,2021-01-15 13:01:40
6185,16,10,6,16,loss,seller,15,16,16,2021-01-15 13:03:28
6185,16,10,6,17,loss,seller,16,16,16,2021-01-15 13:05:19
6185,6,10,6,18,loss,seller,17,16,16,2021-01-15 13:07:50
6185,3,10,6,19,loss,seller,15,16,16,2021-01-15 13:10:06
6185,1,10,6,20,loss,seller,18,16,16,2021-01-15 13:12:16
6393,15,0,7,1,loss,seller,7,10,10,2021-01-15 12:32:13
6393,12,0,7,2,loss,seller,9,11,11,2021-01-15 12:36:56
6393,10,4,7,3,loss,seller,10,11,11,2021-01-15 12:39:05
6393,10,4,7,4,loss,seller,10,11,11,2021-01-15 12:40:28
6393,11,4,7,5,loss,seller,12,11,11,2021-01-15 12:43:07
6393,11,4,7,6,loss,seller,11,11,11,2021-01-15 12:44:40
6393,12,0,7,7,loss,seller,9,11,11,2021-01-15 12:46:43
6393,11,4,7,8,loss,seller,11,11,11,2021-01-15 12:49:13
6393,11,4,7,9,loss,seller,10,11,11,2021-01-15 12:49:37
6393,11,4,7,10,loss,seller,9,11,11,2021-01-15 12:51:35
6393,15,5,11,11,loss,seller,14,16,16,2021-01-15 12:54:15
6393,16,5,11,12,loss,seller,13,16,16,2021-01-15 12:56:17
6393,16,5,11,13,loss,seller,17,16,16,2021-01-15 12:58:07
6393,16,5,11,14,loss,seller,18,16,16,2021-01-15 13:00:30
6393,16,5,11,15,loss,seller,15,16,16,2021-01-15 13:01:55
6393,16,5,11,16,loss,seller,15,16,16,2021-01-15 13:04:32
6393,16,5,11,17,loss,seller,16,16,16,2021-01-15 13:06:20
6393,16,5,11,18,loss,seller,17,16,16,2021-01-15 13:08:07
6393,16,5,11,19,loss,seller,15,16,16,2021-01-15 13:09:38
6393,16,5,11,20,loss,seller,18,16,16,2021-01-15 13:11:58
8278,8,0,20,1,loss,buyer,7,11,10,2021-01-15 12:30:32
8278,8,0,20,2,loss,buyer,9,11,11,2021-01-15 12:37:19
8278,11,9,20,3,loss,buyer,10,11,11,2021-01-15 12:37:45
8278,13,9,20,4,loss,buyer,10,11,11,2021-01-15 12:39:41
8278,13,9,20,5,loss,buyer,12,11,11,2021-01-15 12:41:43
8278,14,9,20,6,loss,buyer,11,11,11,2021-01-15 12:43:30
8278,14,9,20,7,loss,buyer,9,11,11,2021-01-15 12:45:32
8278,12,9,20,8,loss,buyer,10,11,11,2021-01-15 12:47:30
8278,12,9,20,9,loss,buyer,10,11,11,2021-01-15 12:49:38
8278,11,9,20,10,loss,buyer,9,11,11,2021-01-15 12:51:40
8278,12,0,14,11,gain,buyer,8,15,15,2021-01-15 12:53:56
8278,15,0,14,12,gain,buyer,7,16,15,2021-01-15 12:55:37
8278,18,-2,14,13,gain,buyer,9,16,16,2021-01-15 12:57:26
8278,16,-2,14,14,gain,buyer,10,16,16,2021-01-15 12:59:36
8278,15,0,14,15,gain,buyer,7,18,16,2021-01-15 13:01:27
8278,16,0,14,16,gain,buyer,7,16.5,16,2021-01-15 13:03:44
8278,15,0,14,17,gain,buyer,8,16.75,16,2021-01-15 13:05:32
8278,16,0,14,18,gain,buyer,8,16.75,16.5,2021-01-15 13:07:29
8278,15.75,0,14,19,gain,buyer,7,16.75,16.5,2021-01-15 13:09:50
8278,16,0,14,20,gain,buyer,8,16.75,16.5,2021-01-15 13:11:34
9275,20,0,16,1,loss,seller,7,10,10,2021-01-15 12:30:56
9275,12,0,16,2,loss,seller,9,11,11,2021-01-15 12:37:08
9275,15,0,16,3,loss,seller,10,11,11,2021-01-15 12:38:02
9275,14,0,16,4,loss,seller,10,11,11,2021-01-15 12:39:49
9275,11,-5,16,5,loss,seller,12,11,11,2021-01-15 12:42:22
9275,11,-5,16,6,loss,seller,11,11,11,2021-01-15 12:43:39
9275,12,0,16,7,loss,seller,9,11,11,2021-01-15 12:45:35
9275,11,-5,16,8,loss,seller,11,11,11,2021-01-15 12:47:50
9275,11,-5,16,9,loss,seller,10,11,11,2021-01-15 12:49:37
9275,12,0,16,10,loss,seller,9,11,11,2021-01-15 12:51:55
