marketmaker,round,p,q,session
gain,1,13,14,1-10
gain,2,14.5,18,1-10
gain,3,15,17,1-10
gain,4,16,17,1-10
gain,5,16,14,1-10
gain,6,16.494999999999997,17,1-10
gain,7,16,18,1-10
gain,8,16,14,1-10
gain,9,16,19,1-10
gain,10,16,18,1-10
gain,11,15,8,11-20
gain,12,15.5,7,11-20
gain,13,16,9,11-20
gain,14,16,10,11-20
gain,15,17,7,11-20
gain,16,16.25,7,11-20
gain,17,16.375,8,11-20
gain,18,16.625,8,11-20
gain,19,16.625,7,11-20
gain,20,16.625,8,11-20
loss,1,10,7,1-10
loss,2,11,9,1-10
loss,3,11,10,1-10
loss,4,11,10,1-10
loss,5,11,12,1-10
loss,6,11,11,1-10
loss,7,11,9,1-10
loss,8,11,11,1-10
loss,9,11,10,1-10
loss,10,11,9,1-10
loss,11,16,14,11-20
loss,12,16,13,11-20
loss,13,16,17,11-20
loss,14,16,18,11-20
loss,15,16,15,11-20
loss,16,16,16,11-20
loss,17,16,16,11-20
loss,18,16,17,11-20
loss,19,16,15,11-20
loss,20,16,18,11-20
